"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type"
14c8c62c-2bb6-46f9-a87f-bf0996e8b1be,0016s000002HVG4AAO,"#N/A",2020-07-28,"#N/A","#N/A",Pipeline,"#N/A",Test Opp78787,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,Existing Business
1933e976-c85a-42ed-a716-92204a4e72e4,478a3f87-20f7-4fe0-af66-184c288c4253,20000.0,2018-09-03,"#N/A",The deal is at 10% because they are at the sales process stage of evaluating just being converted from a lead.  No formal sales engagement has taken place yet.,Pipeline,Word of mouth,Acme - 200 Widgets,Need estimate,10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,Existing Business
19cddb19-62db-407d-9f86-a46acdc6a8e8,1d7d67dc-7470-4b6a-804e-987d146652b2,"#N/A",2020-07-28,"#N/A","#N/A",Pipeline,"#N/A",Test Opp2,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A"
1fde7791-ffd2-417f-a6d1-7bcc7f6aa1f8,1d7d67dc-7470-4b6a-804e-987d146652b2,"#N/A",2020-07-28,"#N/A","#N/A",Pipeline,"#N/A",Test Opp2,"#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A"
43295fbb-8ac8-45f0-bc2a-4f316676d917,add333bf-23fb-47ab-899a-9cceb2b97511,40000.0,2018-06-03,"#N/A",The deal is at 60% because they are still at the sales process stage of getting buy-in from the key decision makers.,Pipeline,Partner,Global Media - 400 Widgets,"#N/A",60.0,false,false,"#N/A",false,"#N/A",false,Id. Decision Makers,New Business
4f3000c0-aaec-4f2c-870e-82224eedff0d,add333bf-23fb-47ab-899a-9cceb2b97511,50000.0,2018-04-02,"#N/A",Initial deal for 500 widgets. We expect follow-on business with a potential upside of 4000 additional widgets over the next 12 months.,Closed,Advertisement,salesforce.com - 500 Widgets,Closed!,100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,Existing Business
9f5a298a-7941-4ab7-9aa6-08a43db6573f,478a3f87-20f7-4fe0-af66-184c288c4253,70000.0,2018-07-01,"#N/A",The deal is at 20% because they are at the sales process stage of defining their requirements.  It is not clear whether our solutions are a good fit or not but they are willing to discuss this in detail.,Pipeline,Trade Show,Acme - 600 Widgets,Need estimate,20.0,false,false,"#N/A",false,"#N/A",false,Needs Analysis,New Business
c951d29f-4e66-4195-bc55-cac1673066ba,478a3f87-20f7-4fe0-af66-184c288c4253,140000.0,2018-05-05,"#N/A",The deal is at  50% because they are at the sales process stage of evaluating our ROI justification.,Pipeline,Trade Show,"Acme - 1,200 Widgets",Need estimate,50.0,false,false,"#N/A",false,"#N/A",false,Value Proposition,Existing Business
d0f95000-7d06-4231-95a0-18fcedab67a3,add333bf-23fb-47ab-899a-9cceb2b97511,500000.0,2018-04-02,"#N/A",Initial deal for 5000 widgets. We expect follow-on business with a potential upside of 40000 additional widgets over the next 12 months.,Closed,Advertisement,salesforce.com - 5000 Widgets,Closed!,100.0,false,false,"#N/A",false,"#N/A",false,Closed Won,New Business
f1830200-b3ad-4a4d-9698-1af1d050610a,466d7067-56d6-4e51-81c6-576271f6d048,20000.0,2018-07-03,"#N/A",More widgets required.  The deal is at 50% because they are still at the sales process stage of evaluating the business/value justification that we submitted.,Pipeline,Partner,"salesforce.com - 2,000 Widgets",Meet at Widget Conference,50.0,false,false,"#N/A",false,"#N/A",false,Value Proposition,Existing Business
f98f77f1-5a75-4c2f-80d8-dca7556a026a,466d7067-56d6-4e51-81c6-576271f6d048,100000.0,2018-05-05,"#N/A",They are interested in our widgets!  The deal is at 90% because they are at the sales process stage of negotiating the finer points of a proposal that we submitted.  We are negotiating with their key decision makers and are confident that this deal will close soon.,Pipeline,Advertisement,"salesforce.com - 1,000 Widgets",Close the deal!,90.0,false,false,"#N/A",false,"#N/A",false,Negotiation/Review,New Business
